sub,trial,uncertain_word,external,rt,user_id
57,17,ambiguous,78,4.6,16266
57,18,unexpected,79,4.768,16266
58,1,erratic,96,6.006,17824
58,2,ambiguous,93,6.123,17824
58,3,risky,50,4.508,17824
58,4,confident,19,3.232,17824
58,5,vague,100,4.582,17824
58,6,questionable,61,3.203,17824
58,7,certain,40,9.164,17824
58,8,inevitable,19,4.766,17824
58,9,frequent,62,20.048,17824
58,10,definite,29,3.78,17824
58,11,unknown,81,2.227,17824
58,12,possible,72,2.289,17824
58,13,predictable,61,2.449,17824
58,14,uncertain,66,2.783,17824
58,15,unexpected,91,3.095,17824
58,16,improbable,83,3.282,17824
58,17,likely,39,2.884,17824
58,18,doubtful,51,3.613,17824
