sub,trial,uncertain_word,probability,rt,user_id
57,7,improbable,30,3.943,16266
57,8,unexpected,35,8.683,16266
57,9,vague,43,3.202,16266
57,10,uncertain,20,2.33,16266
57,11,possible,72,3.453,16266
57,12,questionable,42,2.147,16266
57,13,inevitable,21,2.365,16266
57,14,confident,81,4.243,16266
57,15,unknown,22,8.045,16266
57,16,frequent,60,17.085,16266
57,17,erratic,30,21.595,16266
57,18,likely,60,6.921,16266
58,1,predictable,70,11.111,17824
58,2,improbable,19,4.437,17824
58,3,erratic,50,6.052,17824
58,4,confident,90,5.708,17824
58,5,inevitable,100,3.818,17824
58,6,unexpected,29,7.915,17824
58,7,certain,91,4.264,17824
58,8,unknown,51,3.492,17824
58,9,risky,39,7.169,17824
58,10,definite,95,2.56,17824
58,11,ambiguous,33,11.978,17824
58,12,questionable,58,7.121,17824
58,13,frequent,77,3.43,17824
58,14,doubtful,30,5.771,17824
58,15,uncertain,50,4.48,17824
58,16,likely,71,12.961,17824
58,17,possible,56,7.837,17824
58,18,vague,41,4.31,17824
