user_id,uncertain_word,final_x,final_y,click_order,rt,initial_x,initial_y,circle_radius
17716,ambiguous,68,138,15,17.791,0,-345,300
17716,certain,51.996949447355746,136.80604582886167,17,17.791,117.99694944735576,-324.19395417113833,300
17716,improbable,-56.23827465814395,118.7146671239525,18,17.791,221.76172534185605,-264.2853328760475,300
17716,inevitable,66.77876430563128,105.5,12,17.791,298.7787643056313,-172.5,300
17716,erratic,-52.24132521078832,145.09137870490906,11,17.791,339.7586747892117,-59.90862129509094,300
17716,possible,11.758674789211682,126.90862129509094,10,17.791,339.7586747892117,59.90862129509094,300
17716,definite,136.7787643056314,112.49999999999989,1,17.791,298.7787643056314,172.4999999999999,300
17716,unknown,93.76172534185616,173.2853328760474,2,17.791,221.76172534185616,264.2853328760474,300
17716,uncertain,30.996949447355743,217.19395417113833,3,17.791,117.99694944735576,324.19395417113833,300
17716,risky,-38.99999999999994,236,4,17.791,5.684341886080804e-14,345,300
17716,confident,-104.99694944735568,216.19395417113833,5,17.791,-117.99694944735568,324.19395417113833,300
17716,likely,-110.76172534185594,159.2853328760475,6,17.791,-221.7617253418559,264.2853328760475,300
17716,vague,-174.77876430563117,92.50000000000011,7,17.791,-298.77876430563117,172.5000000000001,300
17716,frequent,-100.75867478921168,50.90862129509094,8,17.791,-339.7586747892117,59.90862129509094,300
17716,predictable,-64.7586747892118,123.09137870490918,9,17.791,-339.7586747892118,-59.908621295090825,300
17716,unexpected,-3.778764305631455,36.50000000000023,13,17.791,-298.77876430563146,-172.49999999999977,300
17716,questionable,-32.76172534185616,166.7146671239526,14,17.791,-221.76172534185616,-264.2853328760474,300
17716,doubtful,82.00305055264437,236.80604582886167,16,17.791,-117.99694944735565,-324.19395417113833,300
16534,improbable,-104,231,7,82.428,0,-345,300
16534,unexpected,216.99694944735575,107.80604582886168,5,82.428,117.99694944735576,-324.19395417113833,300
16534,possible,80.76172534185605,-237.2853328760474,6,82.428,221.76172534185605,-264.2853328760474,300
16534,ambiguous,21.778764305631285,38.5,8,82.428,298.7787643056313,-172.5,300
16534,predictable,-247.24132521078832,-18.90862129509094,17,82.428,339.7586747892117,-59.90862129509094,300
16534,frequent,-135.24132521078832,-135.09137870490906,13,82.428,339.7586747892117,59.90862129509094,300
16534,risky,258.7787643056313,9.499999999999886,16,82.428,298.7787643056313,172.4999999999999,300
16534,unknown,121.76172534185616,224.2853328760474,3,82.428,221.76172534185616,264.2853328760474,300
16534,erratic,213.99694944735575,25.19395417113833,18,82.428,117.99694944735576,324.19395417113833,300
16534,confident,-130.99999999999994,-205,15,82.428,5.684341886080804e-14,345,300
16534,likely,-152.9969494473557,-209.80604582886167,4,82.428,-117.99694944735568,324.19395417113833,300
16534,doubtful,-38.761725341855936,259.2853328760475,14,82.428,-221.7617253418559,264.2853328760475,300
16534,definite,-209.77876430563123,-157.4999999999999,11,82.428,-298.7787643056312,172.5000000000001,300
16534,vague,-81.75867478921168,128.90862129509094,10,82.428,-339.7586747892117,59.90862129509094,300
16534,questionable,31.241325210788204,142.09137870490918,9,82.428,-339.7586747892118,-59.908621295090825,300
16534,uncertain,36.22123569436849,262.5000000000002,2,82.428,-298.77876430563146,-172.49999999999977,300
16534,inevitable,-58.76172534185616,-233.28533287604728,12,82.428,-221.76172534185616,-264.2853328760473,300
16534,certain,-87.99694944735563,-247.19395417113833,1,82.428,-117.99694944735565,-324.19395417113833,300
17753,certain,-157,-182,9,118.719,0,-345,300
17753,definite,-86.00305055264425,-225.19395417113833,10,118.719,117.99694944735576,-324.19395417113833,300
17753,possible,-172.23827465814395,54.71466712395261,11,118.719,221.76172534185605,-264.2853328760474,300
17753,questionable,209.77876430563128,-35.5,12,118.719,298.7787643056313,-172.5,300
17753,confident,-124.24132521078832,-189.90862129509097,7,118.719,339.7586747892117,-59.90862129509094,300
17753,frequent,-217.24132521078832,89.90862129509094,4,118.719,339.7586747892117,59.90862129509094,300
17753,risky,128.77876430563128,83.49999999999989,13,118.719,298.7787643056313,172.4999999999999,300
17753,unknown,160.76172534185616,196.2853328760474,3,118.719,221.76172534185616,264.2853328760474,300
17753,unexpected,132.99694944735575,211.19395417113833,1,118.719,117.99694944735576,324.19395417113833,300
17753,predictable,-223.99999999999991,-28,17,118.719,5.684341886080804e-14,345,300
17753,ambiguous,238.00305055264425,92.19395417113832,18,118.719,-117.99694944735568,324.19395417113833,300
17753,uncertain,103.23827465814406,211.2853328760475,2,118.719,-221.7617253418559,264.2853328760475,300
17753,improbable,229.22123569436872,-56.499999999999886,14,118.719,-298.7787643056312,172.5000000000001,300
17753,inevitable,-67.75867478921168,-179.09137870490906,15,118.719,-339.7586747892117,59.90862129509094,300
17753,likely,-237.7586747892118,63.091378704909175,5,118.719,-339.7586747892118,-59.908621295090825,300
17753,erratic,57.22123569436849,76.50000000000023,16,118.719,-298.77876430563146,-172.49999999999977,300
17753,vague,202.23827465814384,161.71466712395272,6,118.719,-221.76172534185616,-264.2853328760473,300
17753,doubtful,242.00305055264437,3.80604582886167,8,118.719,-117.99694944735565,-324.19395417113833,300
17805,ambiguous,127,-93,14,130.125,0,-345,300
17805,uncertain,25.996949447355743,-264.19395417113833,15,130.125,117.99694944735576,-324.19395417113833,300
17805,certain,-77.23827465814395,155.7146671239526,16,130.125,221.76172534185605,-264.2853328760474,300
17805,improbable,-229.22123569436872,-75.5,17,130.125,298.7787643056313,-172.5,300
17805,risky,-11.241325210788318,-199.90862129509097,18,130.125,339.7586747892117,-59.90862129509094,300
