sub,trial,gamble,choice,choice_fct,rt
3,46,53,1,A,4.223
3,47,63,1,A,1.648
3,48,44,2,B,1.992
3,49,43,1,A,1.93
3,50,91,2,B,1.841
3,51,32,1,A,1.519
3,52,27,1,A,1.702
3,53,52,1,A,1.699
3,54,72,2,B,2.201
3,55,19,1,A,2.092
3,56,78,2,B,2.198
3,57,40,2,B,2.437
3,58,11,1,A,4.219
3,59,49,2,B,2.683
3,60,65,2,B,1.386
3,61,12,1,A,1.548
3,62,71,2,B,2.456
3,63,5,2,B,2.135
3,64,58,1,A,3.13
3,65,46,2,B,2.568
3,66,21,1,A,1.982
3,67,57,1,A,2.049
3,68,17,2,B,1.992
3,69,4,2,B,1.914
3,70,76,2,B,2.781
3,71,50,1,A,3.701
3,72,30,1,A,2.194
3,73,87,2,B,1.558
3,74,39,2,B,2.01
3,75,51,1,A,2.207
3,76,56,1,A,2.157
3,77,79,1,A,2.124
3,78,62,1,A,1.77
3,79,86,1,A,2.055
3,80,23,2,B,1.873
3,81,10,1,A,2.744
3,82,14,1,A,2
3,83,20,1,A,1.5
3,84,9,1,A,1.482
3,85,35,1,A,2.379
3,86,13,1,A,1.413
3,87,89,1,A,1.866
3,88,8,2,B,1.628
3,89,55,1,A,1.213
3,90,73,1,A,1.86
3,91,81,1,A,1.983
4,1,77,1,A,4.035
4,2,34,2,B,14.255
4,3,41,2,B,10.869
4,4,44,2,B,10.781
4,5,67,1,A,5.579
4,6,68,1,A,7.069
4,7,32,2,B,6.188
4,8,10,1,A,9.841
4,9,82,2,B,5.959
4,10,66,2,B,5.88
4,11,79,1,A,4.081
4,12,64,2,B,6.299
4,13,56,1,A,4.535
4,14,38,2,B,5.517
4,15,7,2,B,8.689
4,16,74,2,B,10.619
4,17,21,1,A,5.932
4,18,39,2,B,4.926
4,19,29,2,B,3.871
4,20,53,1,A,7.072
4,21,81,2,B,6.419
4,22,46,2,B,3.15
4,23,25,2,B,7.067
4,24,4,2,B,5.472
4,25,18,2,B,3.956
4,26,35,1,A,3.127
4,27,60,1,A,8.484
4,28,55,1,A,6.083
4,29,63,2,B,9.056
4,30,72,2,B,5.146
4,31,50,1,A,14.114
4,32,28,1,A,6.965
4,33,3,1,A,5.443
4,34,69,1,A,5.636
4,35,62,1,A,6.789
4,36,26,1,A,2.75
4,37,22,2,B,3.117
4,38,90,1,A,7.413
4,39,88,1,A,5.216
4,40,78,2,B,4.84
4,41,33,2,B,3.994
4,42,9,1,A,8.419
4,43,47,1,A,9.092
4,44,52,1,A,6.568
4,45,76,2,B,3.475
4,46,43,1,A,18.793
4,47,30,2,B,8.698
4,48,31,1,A,9.001
4,49,91,2,B,4.114
4,50,13,1,A,2.924
4,51,65,1,A,5.136
4,52,83,1,A,3.456
4,53,19,2,B,4
4,54,27,2,B,4.745
4,55,17,1,A,6.393
4,56,89,1,A,3.5
4,57,14,1,A,10.801
4,58,23,2,B,3.998
4,59,6,2,B,5.42
4,60,57,1,A,7.066
4,61,59,1,A,15.854
4,62,73,1,A,6.3
4,63,51,2,B,6.02
4,64,11,1,A,10.691
4,65,37,1,A,6.262
4,66,16,1,A,6.061
4,67,70,1,A,8.165
4,68,15,2,B,3.615
4,69,12,1,A,5.343
4,70,2,2,B,6.54
4,71,36,2,B,9
